datumtijd;huidigeuurprijs;Dagmax;Dagmin;Percentage
17-10-2025 17:31:58;0.296571;0.33123145;0.25220635;89.54
17-10-2025 18:31:58;0.3125914;0.33123145;0.25220635;94.37
17-10-2025 19:31:59;0.31622745;0.33123145;0.25220635;95.47
17-10-2025 20:31:59;0.298733875;0.33123145;0.25220635;90.19
17-10-2025 21:32:00;0.28273465;0.33123145;0.25220635;85.36
17-10-2025 22:32:00;0.280559675;0.33123145;0.25220635;84.7
17-10-2025 23:32:01;0.268665375;0.33123145;0.25220635;81.11
18-10-2025 00:32:01;0.2711973;0.310646325;0.229346425;87.3
18-10-2025 01:32:02;0.265961025;0.310646325;0.229346425;85.62
18-10-2025 02:32:02;0.265610125;0.310646325;0.229346425;85.5
18-10-2025 03:32:02;0.262385475;0.310646325;0.229346425;84.46
18-10-2025 04:32:03;0.26055535;0.310646325;0.229346425;83.88
18-10-2025 05:32:03;0.26154755;0.310646325;0.229346425;84.19
18-10-2025 06:32:04;0.265595;0.310646325;0.229346425;85.5
18-10-2025 07:32:04;0.287087625;0.310646325;0.229346425;92.42
18-10-2025 08:32:05;0.2951795;0.310646325;0.229346425;95.02
18-10-2025 09:32:05;0.279978875;0.310646325;0.229346425;90.13
18-10-2025 10:32:06;0.264085525;0.310646325;0.229346425;85.01
19-10-2025 15:11:05;0.23531475;0.28528775;0.179506525;82.48
19-10-2025 16:11:05;0.24952015;0.28528775;0.179506525;87.46
19-10-2025 17:11:06;0.28528775;0.28528775;0.179506525;100.0
19-10-2025 18:11:06;0.2741134;0.28528775;0.179506525;96.08
19-10-2025 19:11:07;0.268060375;0.28528775;0.179506525;93.96
19-10-2025 20:11:07;0.2490301;0.28528775;0.179506525;87.29
19-10-2025 21:11:08;0.241307275;0.28528775;0.179506525;84.58
19-10-2025 22:11:08;0.24079;0.28528775;0.179506525;84.4
19-10-2025 23:11:09;0.223974025;0.28528775;0.179506525;78.51
20-10-2025 00:11:09;0.231463925;0.300778775;0.2184534;76.95
20-10-2025 01:11:09;0.222576475;0.300778775;0.2184534;74.0
20-10-2025 02:11:10;0.22132715;0.300778775;0.2184534;73.58
20-10-2025 03:11:10;0.219757175;0.300778775;0.2184534;73.06
20-10-2025 04:11:11;0.2199054;0.300778775;0.2184534;73.11
20-10-2025 05:11:11;0.234162225;0.300778775;0.2184534;77.85
20-10-2025 06:11:12;0.2461382;0.300778775;0.2184534;81.83
20-10-2025 07:11:12;0.26384655;0.300778775;0.2184534;87.72
20-10-2025 08:11:13;0.30071525;0.300778775;0.2184534;99.98
20-10-2025 09:11:13;0.300778775;0.300778775;0.2184534;100.0
20-10-2025 10:11:14;0.2753234;0.300778775;0.2184534;91.54
20-10-2025 11:11:14;0.24011845;0.300778775;0.2184534;79.83
20-10-2025 12:11:14;0.22661485;0.300778775;0.2184534;75.34
20-10-2025 13:11:15;0.229679175;0.300778775;0.2184534;76.36
20-10-2025 14:11:15;0.236061925;0.300778775;0.2184534;78.48
20-10-2025 14:35:21;0.236061925;0.300778775;0.2184534;78.48
20-10-2025 15:35:21;0.25808695;0.300778775;0.2184534;85.81
20-10-2025 16:35:22;0.27935875;0.300778775;0.2184534;92.88
20-10-2025 17:35:22;0.290451425;0.300778775;0.2184534;96.57
20-10-2025 18:35:23;0.297777975;0.300778775;0.2184534;99.0
20-10-2025 19:35:23;0.27998795;0.300778775;0.2184534;93.09
20-10-2025 20:35:24;0.25380355;0.300778775;0.2184534;84.38
20-10-2025 21:35:24;0.248137725;0.300778775;0.2184534;82.5
20-10-2025 22:35:25;0.233424125;0.300778775;0.2184534;77.61
20-10-2025 23:35:25;0.2184534;0.300778775;0.2184534;72.63
21-10-2025 00:35:26;0.2188648;0.30122345;0.1773134;72.66
22-10-2025 10:54:24;0.277873475;0.505341375;0.2470457;54.99
22-10-2025 10:56:39;0.277873475;0.505341375;0.2470457;54.99
22-10-2025 11:56:40;0.256020875;0.505341375;0.2470457;50.66
22-10-2025 12:56:40;0.251858475;0.505341375;0.2470457;49.84
22-10-2025 17:17:48;0.377450425;0.505341375;0.2470457;74.69
22-10-2025 18:17:49;0.505341375;0.505341375;0.2470457;100.0
22-10-2025 19:17:49;0.49318995;0.505341375;0.2470457;97.6
22-10-2025 20:17:50;0.363130075;0.505341375;0.2470457;71.86
22-10-2025 21:17:50;0.30223985;0.505341375;0.2470457;59.81
22-10-2025 22:17:51;0.2870604;0.505341375;0.2470457;56.81
22-10-2025 23:17:51;0.270837325;0.505341375;0.2470457;53.59
23-10-2025 00:17:52;0.264763125;0.303906625;0.229437175;87.12
23-10-2025 01:17:52;0.255821225;0.303906625;0.229437175;84.18
23-10-2025 02:17:53;0.25265405;0.303906625;0.229437175;83.14
23-10-2025 03:17:53;0.23686355;0.303906625;0.229437175;77.94
23-10-2025 04:17:53;0.235898575;0.303906625;0.229437175;77.62
23-10-2025 05:17:54;0.229697325;0.303906625;0.229437175;75.58
23-10-2025 06:17:54;0.2441659;0.303906625;0.229437175;80.34
23-10-2025 07:17:55;0.2595934;0.303906625;0.229437175;85.42
23-10-2025 08:17:55;0.2865643;0.303906625;0.229437175;94.29
23-10-2025 09:17:56;0.273789725;0.303906625;0.229437175;90.09
23-10-2025 10:17:56;0.253522225;0.303906625;0.229437175;83.42
23-10-2025 11:17:57;0.237931375;0.303906625;0.229437175;78.29
23-10-2025 12:17:57;0.230871025;0.303906625;0.229437175;75.97
23-10-2025 13:17:58;0.23431045;0.303906625;0.229437175;77.1
23-10-2025 14:17:58;0.23411685;0.303906625;0.229437175;77.04
23-10-2025 15:17:58;0.2586859;0.303906625;0.229437175;85.12
23-10-2025 16:17:59;0.2649658;0.303906625;0.229437175;87.19
23-10-2025 17:17:59;0.2908356;0.303906625;0.229437175;95.7
23-10-2025 18:18:00;0.29887605;0.303906625;0.229437175;98.34
23-10-2025 19:18:00;0.303906625;0.303906625;0.229437175;100.0
23-10-2025 20:18:01;0.2801634;0.303906625;0.229437175;92.19
23-10-2025 21:18:01;0.264061325;0.303906625;0.229437175;86.89
23-10-2025 22:18:02;0.2619045;0.303906625;0.229437175;86.18
23-10-2025 23:18:02;0.229437175;0.303906625;0.229437175;75.5
24-10-2025 00:18:03;0.17385885;0.265640375;0.15798365;65.45
24-10-2025 01:18:03;0.165095425;0.265640375;0.15798365;62.15
24-10-2025 02:18:04;0.16174675;0.265640375;0.15798365;60.89
24-10-2025 03:18:04;0.15798365;0.265640375;0.15798365;59.47
24-10-2025 04:18:05;0.159353975;0.265640375;0.15798365;59.99
24-10-2025 05:18:05;0.164962325;0.265640375;0.15798365;62.1
24-10-2025 06:18:06;0.184909175;0.265640375;0.15798365;69.61
24-10-2025 07:18:06;0.2359016;0.265640375;0.15798365;88.8
24-10-2025 08:18:06;0.26424585;0.265640375;0.15798365;99.48
24-10-2025 09:18:07;0.2534224;0.265640375;0.15798365;95.4
24-10-2025 10:18:07;0.229624725;0.265640375;0.15798365;86.44
24-10-2025 11:18:08;0.2033768;0.265640375;0.15798365;76.56
24-10-2025 12:18:08;0.17746465;0.265640375;0.15798365;66.81
24-10-2025 13:18:09;0.158083475;0.265640375;0.15798365;59.51
24-10-2025 14:18:09;0.158398075;0.265640375;0.15798365;59.63
24-10-2025 15:18:09;0.178453825;0.265640375;0.15798365;67.18
